variant,study_name,trial,state,value,failure_class,worker_status,worker_message_short,latest_step,total_steps,training_complete,batch_size_train,batch_size_eval,val_microbatch_size,memory_cleanup_every_steps,datetime_start,datetime_complete,param_learning_rate_schedule,param_learning_rate,param_weight_decay,param_nmse_loss_weight,param_grad_clip_norm,param_dropout,param_residual_scale,param_learning_rate_decay_fraction,param_learning_rate_final_fraction,param_learning_rate_polynomial_power
narrow_d192_b4_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_narrow_d192_b4_r2,2,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",8333,12000,False,32,32,16,100,2026-06-28T09:52:22.478358+00:00,2026-06-28T11:11:04.317646+00:00,constant,0.0011946389869486255,4.808411025745453e-07,0.406742950411635,0.5,0.006702779359930216,0.5957832138397147,,,
narrow_d192_b4_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_narrow_d192_b4_r2,3,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node axial_block_3/dense_12/Tensordot/MatMul defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial_worker.py"",",7133,12000,False,32,32,16,100,2026-06-28T11:11:04.475167+00:00,2026-06-28T12:21:45.971088+00:00,constant,0.0006176828477264028,1.3641190130700651e-06,0.481254987205617,0.5,0.008345022011493858,0.6449472012129702,,,
narrow_d192_b4_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_narrow_d192_b4_r2,4,COMPLETE,-1.2849388838099145,,complete,,12000,12000,True,32,32,16,100,2026-06-28T12:21:46.090991+00:00,2026-06-28T14:13:57.456948+00:00,constant,0.0009643418646698049,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,,,
narrow_d192_b4_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_narrow_d192_b4_r2,5,COMPLETE,-1.2343344123511928,,complete,,12000,12000,True,32,32,16,100,2026-06-28T14:13:57.674644+00:00,2026-06-28T16:03:43.637583+00:00,cosine_decay,0.0004568972058255479,9.040091747332144e-06,0.05813033561196787,0.5,0.05667887955460827,0.6548860289390384,0.75,0.02308016679308127,
wide_d320_b4_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_wide_d320_b4_r2,0,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",6081,12000,False,32,32,16,100,2026-06-28T06:04:15.839148+00:00,2026-06-28T07:11:09.087025+00:00,constant,0.0009643418646698049,1.2083509754787337e-07,0.16251789877216094,0.5,0.10909540498640775,0.22990166745555007,,,
wide_d320_b4_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_wide_d320_b4_r2,1,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",3655,12000,False,32,32,16,100,2026-06-28T07:11:09.225515+00:00,2026-06-28T07:49:44.749734+00:00,polynomial_decay,0.0008788509854471044,8.507887091089711e-06,0.31622756612199476,0.5,0.029975724725883654,0.5875250819591711,1.25,0.02988330276131284,1.8150943967789455
wide_d320_b4_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_wide_d320_b4_r2,2,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",7966,12000,False,32,32,16,100,2026-06-28T07:49:44.853027+00:00,2026-06-28T09:14:05.781112+00:00,polynomial_decay,0.0008750519993093886,8.74508633569595e-06,0.0643864199362532,0.5,0.007330371807527297,0.5882632740021015,1.25,0.04207132643385709,1.660055250588681
wide_d320_b4_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_wide_d320_b4_r2,3,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",9118,12000,False,32,32,16,100,2026-06-28T09:14:05.900324+00:00,2026-06-28T10:53:57.565296+00:00,polynomial_decay,0.0011194142556839183,5.778735770825256e-06,0.06523425274380522,0.5,0.007700648798378345,0.6639079530952303,1.25,0.03995121225244404,1.5259288638269477
wide_d320_b4_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_wide_d320_b4_r2,4,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",5250,12000,False,32,32,16,100,2026-06-28T10:53:57.658976+00:00,2026-06-28T11:51:19.721646+00:00,cosine_decay,0.0004568972058255479,9.040091747332144e-06,0.05813033561196787,0.5,0.05667887955460827,0.6548860289390384,0.75,0.02308016679308127,
wide_d320_b4_r2,umiNorm_v1_b32_prb8_u34610_1dmrs_stageB_wide_d320_b4_r2,5,FAIL,,true_resource_exhausted_oom,resource_exhausted,"Graph execution error:

Detected at node gradient_tape/delta_head/Conv2D/Conv2DBackpropInput defined at (most recent call last):
  File ""/lustre10/scratch/rsadve1/Extended_UPAIR_Narval_b32m16_portable_underUMI/scripts/run_optuna_1dmrs_trial",10803,12000,False,32,32,16,100,2026-06-28T11:51:19.938345+00:00,2026-06-28T13:42:58.049332+00:00,cosine_decay,0.0004983159357242532,7.693520676908999e-07,0.12243400701824686,1.0,0.007912361628708613,0.3228873595847961,0.75,0.012154545064008537,
