variant,trial,state,value,is_warm_start,source_domain,purpose,last_step,last_val_nmse_prop,last_val_nmse_ls,last_val_nmse_ratio,best_val_nmse_prop,best_val_nmse_ls,best_val_nmse_ratio,best_nmse_step,param_learning_rate_schedule,param_learning_rate,param_learning_rate_decay_fraction,param_learning_rate_final_fraction,param_weight_decay,param_nmse_loss_weight,param_grad_clip_norm,param_dropout,param_residual_scale,param_learning_rate_polynomial_power
deep_d256_b6_r2,9,PRUNED,-1.1275856074285469,False,,,1000,0.07917273700392495,0.106999559502583,0.7399351676958418,0.07917273700392495,0.106999559502583,0.7399351676958418,1000,constant,0.0011846756846122385,,,7.935803724335564e-07,0.06211526700128886,0.5,0.09701928945187067,0.3136992083000011,
deep_d256_b6_r2,10,PRUNED,-1.0113612004522095,False,,,1000,0.0989530833515649,0.106999559502583,0.9247989787208063,0.0989530833515649,0.106999559502583,0.9247989787208063,1000,constant,8.360522188645399e-05,,,1.6996383312246802e-07,0.09125971891914086,0.5,0.0967250083485212,0.4105818544001319,
deep_d256_b6_r2,11,PRUNED,-1.1153992993561275,False,,,1000,0.08104587501535813,0.106999559502583,0.7574412024883305,0.08104587501535813,0.106999559502583,0.7574412024883305,1000,cosine_decay,0.0009380432821024994,0.75,0.09829310579734883,3.3241262335442514e-07,0.22414686479611623,1.0,0.08899724925726865,0.5208749834536878,
deep_d256_b6_r2,12,PRUNED,-1.1376272108267271,False,,,1000,0.07766183644222717,0.106999559502583,0.725814543566905,0.07766183644222717,0.106999559502583,0.725814543566905,1000,cosine_decay,0.001138589067706939,1.25,0.061298479356677205,4.023895604260273e-07,0.1254319387141564,0.5,0.02835158323168456,0.6203564397831597,
deep_d256_b6_r2,13,COMPLETE,-1.234896829919285,False,,,4000,0.06384867819724604,0.11423495997829984,0.5589241525481761,0.06384867819724604,0.11423495997829984,0.5589241525481761,4000,polynomial_decay,0.0009951575462592785,1.0,0.1285119138898518,1.1859701871838162e-07,0.12057887170216385,0.5,0.1079493254225414,0.37019936326045155,1.955717493414353
deep_d256_b6_r2,14,PRUNED,-1.051913125589458,False,,,1000,0.09154530170296009,0.106999559502583,0.8555670895145149,0.09154530170296009,0.106999559502583,0.8555670895145149,1000,polynomial_decay,0.0003397929973714814,1.0,0.11317622816451264,1.3020365291439366e-06,0.06242235354593715,1.0,0.10094521304389217,0.2414436508853954,1.9307536616921959
deep_d256_b6_r2,15,COMPLETE,-1.2438664752575754,False,,,4000,0.06241534291378533,0.11423495997829984,0.5463768965791365,0.06241534291378533,0.11423495997829984,0.5463768965791365,4000,polynomial_decay,0.0009592546085393783,1.25,0.1311613586599023,1.1466706433076556e-07,0.30075331676229844,0.5,0.08782697630221006,0.3505540117207723,1.9583023083951345
deep_d256_b6_r2,16,PRUNED,-1.1050335800014293,False,,,1000,0.082674012267186,0.106999559502583,0.772657501129154,0.082674012267186,0.106999559502583,0.772657501129154,1000,polynomial_decay,0.0003566701665422703,1.25,0.13268850331139626,6.191622561442002e-06,0.1994183868680173,0.5,0.07735559120271406,0.34025748556944974,1.465230812095157
deep_d256_b6_r2,17,PRUNED,-1.0735004975218174,False,,,1000,0.08783074846724048,0.106999559502583,0.8208514957963002,0.08783074846724048,0.106999559502583,0.8208514957963002,1000,polynomial_decay,0.0003247642930015399,1.25,0.041327343398035635,2.75475627504332e-07,0.4205144536999986,1.0,0.06566487057052955,0.346250285523684,0.7244941429377802
deep_d256_b6_r2,18,COMPLETE,-1.2473931992286345,False,,,4000,0.06143894327882057,0.11423495997829984,0.5378296039189014,0.06143894327882057,0.11423495997829984,0.5378296039189014,4000,constant,0.0009175824708006568,,,4.091012719746439e-07,0.48436560251525473,0.5,0.0454684464868393,0.3460995726258102,
