receiver,variant,dmrs_case,seed,training_seed,num_users,ebno_db,num_chunks,chunk_indices,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,point_elapsed_s,data_elapsed_s,receiver_elapsed_s,ber,bler,nmse,mc_stop_reason,target_bler_floor,bler_zero_error_upper_bound,ber_zero_error_upper_bound,receiver_ms_per_batch,receiver_ms_per_frame,reliable_ber,reliable_bler,source,mtime
upair5g_lmmse,narrow_d192_b4_r2,1dmrs,7,7,3,-4.0,1,0,96783,11427840,524,3840,20,210.0383164118976,58.276186998933554,133.6566194705665,0.0084690545194892,0.1364583333333333,,isolated_chunk_merge,,,,6682.830973528326,34.80641132046003,True,True,_isolated_eval_chunks/merged_narrow_d192_b4_r2_u3_upair5g_lmmse_em4.csv,1781084312.1862772
upair5g_lmmse,narrow_d192_b4_r2,1dmrs,7,7,3,-3.0,1,0,19075,11427840,117,3840,20,209.71893985196948,58.36473366431892,133.07988111302257,0.0016691693268369,0.03046875,,isolated_chunk_merge,,,,6653.994055651128,34.656219039849624,True,True,_isolated_eval_chunks/merged_narrow_d192_b4_r2_u3_upair5g_lmmse_em3.csv,1781084550.1079679
upair5g_lmmse,narrow_d192_b4_r2,1dmrs,7,7,3,-2.0,3,"0,1,2",18827,34283520,133,11520,60,626.7814419260249,174.7690668106079,398.7440339019522,0.000549155979316,0.0115451388888888,,isolated_chunk_merge,,,,6645.73389836587,34.61319738732224,True,True,_isolated_eval_chunks/merged_narrow_d192_b4_r2_u3_upair5g_lmmse_em2.csv,1781085261.1478662
upair5g_lmmse,narrow_d192_b4_r2,1dmrs,7,7,3,-1.0,14,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",14517,159989760,108,53760,280,2931.1541103692725,815.8714076103643,1865.492908263579,9.0737057171659e-05,0.0020089285714285,,isolated_chunk_merge,,,,6662.474672369925,34.70038891859336,True,True,_isolated_eval_chunks/merged_narrow_d192_b4_r2_u3_upair5g_lmmse_em1.csv,1781088556.942791
upair5g_lmmse,narrow_d192_b4_r2,1dmrs,7,7,3,0.0,80,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79",11584,914227200,100,307200,1600,16774.677926599048,4663.384348919615,10673.967290633358,1.267081093189964e-05,0.0003255208333333,,isolated_chunk_merge,,,,6671.229556645849,34.74598727419713,True,True,_isolated_eval_chunks/merged_narrow_d192_b4_r2_u3_upair5g_lmmse_e0.csv,1781107489.7536302
upair5g_lmmse,narrow_d192_b4_r2,1dmrs,7,7,3,1.0,100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",2320,1142784000,19,384000,2000,20848.275824117474,5804.36777440086,13259.031212598084,2.030129928315412e-06,4.9479166666666665e-05,,isolated_chunk_merge,,,,6629.515606299043,34.52872711614085,True,False,_isolated_eval_chunks/merged_narrow_d192_b4_r2_u3_upair5g_lmmse_e1.csv,1781132782.8303847
upair5g_lmmse,narrow_d192_b4_r2,1dmrs,7,7,3,2.0,100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",390,1142784000,2,384000,2000,20927.29691934865,5836.490515528247,13326.201317020692,3.4127184139784946e-07,5.208333333333333e-06,,isolated_chunk_merge,,,,6663.100658510346,34.70364926307472,False,False,_isolated_eval_chunks/merged_narrow_d192_b4_r2_u3_upair5g_lmmse_e2.csv,1781156928.6518834
upair5g_lmmse,narrow_d192_b4_r2,1dmrs,7,7,3,3.0,100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",0,1142784000,0,384000,2000,21219.570497673936,5897.002217410132,13546.121393463574,0.0,0.0,,isolated_chunk_merge,,7.8125e-06,2.625168010752688e-09,6773.060696731787,35.276357795478056,False,False,_isolated_eval_chunks/merged_narrow_d192_b4_r2_u3_upair5g_lmmse_e3.csv,1781181161.9275613
upair5g_lmmse,shallow_d256_b2_r2,1dmrs,7,7,3,-4.0,1,0,90335,11427840,514,3840,20,218.57024013623595,60.13362677209079,133.29594480618834,0.0079048184083781,0.1338541666666666,,isolated_chunk_merge,,,,6664.797240309417,34.712485626611546,True,True,_isolated_eval_chunks/merged_shallow_d256_b2_r2_u3_upair5g_lmmse_em4.csv,1781079114.9869359
upair5g_lmmse,shallow_d256_b2_r2,1dmrs,7,7,3,-3.0,1,0,26362,11427840,162,3840,20,218.41194911301136,60.1256670486182,132.92039743065834,0.0023068226366487,0.0421875,,isolated_chunk_merge,,,,6646.019871532917,34.61468683090061,True,True,_isolated_eval_chunks/merged_shallow_d256_b2_r2_u3_upair5g_lmmse_em3.csv,1781079360.3656285
upair5g_lmmse,shallow_d256_b2_r2,1dmrs,7,7,3,-2.0,3,"0,1,2",16176,34283520,110,11520,60,645.4177250182256,178.23416290711612,395.91397847794,0.0004718301971326,0.0095486111111111,,isolated_chunk_merge,,,,6598.566307965666,34.367532853987846,True,True,_isolated_eval_chunks/merged_shallow_d256_b2_r2_u3_upair5g_lmmse_em2.csv,1781080089.9412184
upair5g_lmmse,shallow_d256_b2_r2,1dmrs,7,7,3,-1.0,15,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14",13350,171417600,102,57600,300,3184.5069666523486,886.1093253884465,1963.8388338219372,7.787998431899642e-05,0.0017708333333333,,isolated_chunk_merge,,,,6546.129446073125,34.094424198297524,True,True,_isolated_eval_chunks/merged_shallow_d256_b2_r2_u3_upair5g_lmmse_em1.csv,1781083743.4963
upair5g_lmmse,shallow_d256_b2_r2,1dmrs,7,7,3,0.0,86,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85",13390,982794240,102,330240,1720,17948.820196365938,5034.400800402276,11126.619725297203,1.3624418474410267e-05,0.0003088662790697,,isolated_chunk_merge,,,,6468.964956568143,33.69252581545908,True,True,_isolated_eval_chunks/merged_shallow_d256_b2_r2_u3_upair5g_lmmse_e0.csv,1781104119.7397459
upair5g_lmmse,shallow_d256_b2_r2,1dmrs,7,7,3,1.0,100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",1562,1142784000,17,384000,2000,19973.992841209285,5709.459696366452,12563.849110542797,1.3668374775985663e-06,4.4270833333333337e-05,,isolated_chunk_merge,,,,6281.924555271398,32.7183570587052,True,False,_isolated_eval_chunks/merged_shallow_d256_b2_r2_u3_upair5g_lmmse_e1.csv,1781128590.352984
upair5g_lmmse,shallow_d256_b2_r2,1dmrs,7,7,3,2.0,100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",432,1142784000,6,384000,2000,19837.85423910804,5713.490272046998,12616.589657008648,3.780241935483871e-07,1.5625e-05,,isolated_chunk_merge,,,,6308.294828504324,32.85570223179335,False,False,_isolated_eval_chunks/merged_shallow_d256_b2_r2_u3_upair5g_lmmse_e2.csv,1781151730.0755937
upair5g_lmmse,shallow_d256_b2_r2,1dmrs,7,7,3,3.0,100,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",0,1142784000,0,384000,2000,20064.00760576222,5779.6719951070845,12813.21524864342,0.0,0.0,,isolated_chunk_merge,,7.8125e-06,2.625168010752688e-09,6406.60762432171,33.36774804334224,False,False,_isolated_eval_chunks/merged_shallow_d256_b2_r2_u3_upair5g_lmmse_e3.csv,1781174787.8954344
